Disease	Disease_id	Gene	Gene_id	Score_gda	Association_Type	 Type	Original_DB	Sentence	PMID	PMID_Year
Dementia	C0497327	IGFALS	3483	0.1	Biomarker		BEFREE	"Attention is drawn to the similarities between this disorder and other ethnic-geographic isolates, particularly the <span class=""gene"" id=""7431026-5-116-119"">ALS</span>-Parkinsonism-<span class=""disease"" id=""7431026-5-133-141"">dementia</span> complex of Guam."	7431026.0	1980.0
Dementia	C0497327	PRNP	5621	0.5	GeneticVariation		BEFREE	"In contrast, a recent case with proven <span class=""variant"" dbSNP=""rs74315401"" genes_norm=""5621"">P102L</span> mutation of the <span class=""gene"" id=""8520719-4-61-65"">PRNP</span> gene had rapidly developing <span class=""disease"" id=""8520719-4-94-102"">dementia</span> and severe cortical damage indistinguishable from the clinicopathological phenotype of Creutzfeldt-Jakob disease (CJD)."	8520719.0	1995.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"In multivariate models adjusted for age, education, <span class=""gene"" id=""20625087-8-52-68"">apolipoprotein E</span> epsilon4 genotype, total energy intake, alcohol intake, smoking habits, body mass index, and supplement use, higher intake of vitamin E at study baseline was associated with lower long-term risk of <span class=""disease"" id=""20625087-8-267-275"">dementia</span> (P = .02 for trend)."	20625087.0	2010.0
Dementia	C0497327	ITM2B	9445	0.2	Biomarker		BEFREE	"In a British family, mutation of the termination codon extends the reading frame of <span class=""gene"" id=""16246057-4-84-87"">BRI</span> to yield a furin-processed 34-residue peptide (Abri; British <span class=""disease"" id=""16246057-4-149-157"">dementia</span> peptide), 11 residues longer than the wild-type (WT)."	16246057.0	2005.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"Association of the epsilon 4 allele of <span class=""gene"" id=""9086316-0-39-55"">apolipoprotein E</span> with poor performance on a <span class=""disease"" id=""9086316-0-83-91"">dementia</span> screen in African Americans."	9086316.0	1996.0
Dementia	C0497327	CLSTN2	64084	0.01	GeneticVariation		BEFREE	"In the population-based SNAC-K study, 2170 participants (≥ 60 years) without <span class=""disease"" id=""25080189-3-77-85"">dementia</span> (DSM-IV criteria) and antidepressant pharmacotherapy were clinically examined and diagnosed following ICD-10 criteria for unipolar depression, and genotyped for KIBRA and <span class=""gene"" id=""25080189-3-257-263"">CLSTN2</span>."	25080189.0	2014.0
Dementia	C0497327	DSPP	1834	0.01	GeneticVariation		BEFREE	"Our findings suggest that <span class=""gene"" id=""30597861-8-26-29"">DPP</span>-4i use decreases the risk of <span class=""disease"" id=""30597861-8-59-67"">dementia</span> compared to SU use in elderly patients with type 2 diabetes in a real-world clinical setting."	30597861.0	2018.0
Dementia	C0497327	FUS	2521	0.38	GeneticVariation		BEFREE	"This work further explores the spectrum of <span class=""gene"" id=""20668259-3-43-46"">FUS</span> mutations in patients with FALS and patients with FALS with features of frontotemporal dementia (FALS/FTD) or parkinsonism and <span class=""disease"" id=""20668259-3-174-182"">dementia</span> (FALS/PD/DE)."	20668259.0	2010.0
Dementia	C0497327	PANK2	80025	0.1	Biomarker		HPO			
Dementia	C0497327	SPAST	6683	0.16	GeneticVariation		BEFREE	"Furthermore, we propose that genomic deletions encompassing the final exon of <span class=""gene"" id=""21659953-8-78-83"">SPAST</span> may affect expression of SLC30A6, the most proximal downstream locus and a gene that has been implicated in the pathogenesis of Alzheimer disease, potentially explaining recent reports of <span class=""disease"" id=""21659953-8-272-280"">dementia</span> in selected SPG4 patients."	21659953.0	2011.0
Dementia	C0497327	LAMC2	3918	0.1	Biomarker		BEFREE	"Thereafter, we focused on the four miRNAs that showed group differences and measured their content in neurally derived blood EVs isolated from 63 subjects: 16 patients with early stage <span class=""disease"" id=""31849573-7-185-193"">dementia</span> and a <span class=""gene"" id=""31849573-7-200-203"">CSF</span> Aβ42+ tau profile consistent with AD, 16 individuals with mild cognitive impairment (MCI) and an AD <span class=""gene"" id=""31849573-7-304-307"">CSF</span> profile, and 31 cognitively intact controls with normal CSF Aβ42+ tau levels."	31849573.0	2019.0
Dementia	C0497327	IGF1	3479	0.08	Biomarker		BEFREE	"Follow-up studies are warranted to assess if <span class=""gene"" id=""29065116-9-45-50"">IGF-1</span> is related to the development of <span class=""disease"" id=""29065116-9-84-92"">dementia</span> in PD."	29065116.0	2017.0
Dementia	C0497327	LAMC2	3918	0.1	Biomarker		BEFREE	"Cerebrospinal fluid (<span class=""gene"" id=""31104469-1-21-24"">CSF</span>) biomarkers are widely used in the diagnosis of <span class=""disease"" id=""31104469-1-73-81"">dementia</span>."	31104469.0	2020.0
Dementia	C0497327	CSF2	1437	0.1	GeneticVariation		BEFREE	"Three studies on stroke reported mixed findings but were limited due to the small number of patients undergoing <span class=""gene"" id=""28859081-13-112-115"">CSF</span> examination, whilst neurosyphilis continued to be reported as a common cause of <span class=""disease"" id=""28859081-13-196-204"">dementia</span> in studies from North Africa."	28859081.0	2017.0
Dementia	C0497327	NOTCH3	4854	0.5	GeneticVariation		BEFREE	"Mutations in <span class=""gene"" id=""27174004-1-13-20"">NOTCH 3</span> are the cause of cerebral autosomal dominant arteriopathy with subcortical infarcts and leukoencephalopathy (CADASIL), a neurological disorder characterized by stroke, and vascular cognitive impairment and <span class=""disease"" id=""27174004-1-227-235"">dementia</span>."	27174004.0	2016.0
Dementia	C0497327	CHMP2B	25978	0.19	GeneticVariation		BEFREE	"<span class=""gene"" id=""16941655-0-0-6"">CHMP2B</span> mutations are not a cause of <span class=""disease"" id=""16941655-0-36-44"">dementia</span> in Dutch patients with familial and sporadic frontotemporal dementia."	16941655.0	2006.0
Dementia	C0497327	CD38	952	0.01	AlteredExpression		BEFREE	"However, the role of <span class=""gene"" id=""18581239-3-21-25"">CD38</span> upregulation in astrocyte function and HIV-1-associated <span class=""disease"" id=""18581239-3-82-90"">dementia</span> (HAD-now called HAND: HIV-1-associated neurocognitive disorder) neuropathogenesis is unclear."	18581239.0	2008.0
Dementia	C0497327	MAPT	4137	0.5	Biomarker		BEFREE	"<span class=""disease"" id=""27792010-1-0-8"">Dementia</span> caused by Alzheimer's disease (AD) is mainly characterized by accumulation in the brain of extra- and intraneuronal amyloid-β (Aβ) and <span class=""gene"" id=""27792010-1-144-147"">tau</span> proteins, respectively, which selectively affect specific regions, particularly the neocortex and the hippocampus."	27792010.0	2017.0
Dementia	C0497327	MAPT	4137	0.5	Biomarker		BEFREE	"The transition of <span class=""gene"" id=""31456657-1-18-21"">tau</span> proteins from its soluble physiological conformation to the pathological aggregate forms found in Alzheimer's disease and related <span class=""disease"" id=""31456657-1-152-161"">dementias</span>, is poorly understood."	31456657.0	2019.0
Dementia	C0497327	ACTG2	72	0.01	AlteredExpression		BEFREE	"<span class=""gene"" id=""16987932-4-0-3"">ACT</span> has been shown to promote Abeta polymerization in vitro and in vivo, and levels of ACT protein in plasma and cerebrospinal fluid from Alzheimer's patients have been found to correlate with progression of <span class=""disease"" id=""16987932-4-208-216"">dementia</span>."	16987932.0	2006.0
Dementia	C0497327	APP	351	0.7	GeneticVariation		BEFREE	"The most common familial early onset <span class=""disease"" id=""15258222-1-37-45"">dementia</span> mutations are found in the genes involved in Alzheimer's disease; the <span class=""gene"" id=""15258222-1-116-141"">amyloid precursor protein</span> (<span class=""gene"" id=""15258222-1-143-146"">APP</span>) and the presenilin 1 and 2 (PSEN1 and 2) genes; the prion protein gene (PRNP) may be involved."	15258222.0	2004.0
Dementia	C0497327	BCHE	590	0.1	Biomarker		BEFREE	"In persons with MCI, <span class=""gene"" id=""29255847-8-21-35"">cholinesterase</span> inhibitors did not reduce <span class=""disease"" id=""29255847-8-62-70"">dementia</span> risk (1 trial, low strength of evidence)."	29255847.0	2018.0
Dementia	C0497327	TREM2	54209	0.7	AlteredExpression		BEFREE	"The selective expression of <span class=""gene"" id=""26694609-4-28-33"">TREM2</span> on immune cells and its association with different forms of <span class=""disease"" id=""26694609-4-94-102"">dementia</span> indicate a contribution of this receptor in common pathways of neurodegeneration."	26694609.0	2016.0
Dementia	C0497327	PSEN1	5663	0.2	GeneticVariation		BEFREE	"We conclude that unlike the general population, neither <span class=""gene"" id=""10581479-9-56-60"">PS-1</span> nor ACT polymorphisms appear to have a similar detrimental effect on <span class=""disease"" id=""10581479-9-130-138"">dementia</span> in DS.Am.J. Med.Genet.(Neuropsychiatr.Genet.)88:616-620, 1999."	10581479.0	1999.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"Prion gene sequence is thought to affect the phenotypic expression of prion disease and the E2 variant of <span class=""gene"" id=""7783958-1-106-122"">apolipoprotein E</span> (Apo E) can be neuroprotective in <span class=""disease"" id=""7783958-1-157-165"">dementia</span>."	7783958.0	1995.0
Dementia	C0497327	LGR6	59352	0.01	Biomarker		BEFREE	"Due to the presence of <span class=""gene"" id=""29538413-9-23-27"">GPCR</span>-AABs in <span class=""disease"" id=""29538413-9-36-44"">dementia</span> patients mainly in those suffering from Alzheimer's and vascular dementia, the orchestra of immune players in these dementia forms, so far preferentially represented by the classic autoantibodies, should be supplemented by functional autoantibodies."	29538413.0	2018.0
Dementia	C0497327	SNCA	6622	0.2	GeneticVariation		BEFREE	"Multivariate regression showed independent negative associations of cerebral tau neurofibrillary tangles score with the interval between onset of motor and <span class=""disease"" id=""27979356-9-156-164"">dementia</span> symptoms (β -4·0, 95% CI -5·5 to -2·6; p&lt;0·0001; R&lt;sup&gt;2&lt;/sup&gt; 0·22, p&lt;0·0001) and with survival (-2·0, -3·2 to -0·8; 0·003; 0·15, &lt;0·0001) in models that included age at death, sex, cerebral neuritic plaque scores, cerebral <span class=""gene"" id=""27979356-9-390-401"">α-synuclein</span> scores, presence of cerebrovascular disease, MAPT haplotype, and APOE genotype as covariates."	27979356.0	2017.0
Dementia	C0497327	MYLK	4638	0.01	Biomarker		BEFREE	"Genetic knockout of <span class=""gene"" id=""31104189-0-20-45"">myosin light chain kinase</span> (<span class=""gene"" id=""31104189-0-47-54"">MLCK210</span>) prevents cerebral microhemorrhages and attenuates neuroinflammation in a mouse model of vascular cognitive impairment and <span class=""disease"" id=""31104189-0-178-186"">dementia</span>."	31104189.0	2019.0
Dementia	C0497327	PSEN1	5663	0.2	Biomarker		BEFREE	"Serial examinations, PET scans, and autopsy revealed that the mutation in this highly conserved portion of <span class=""gene"" id=""15159497-2-107-110"">PS1</span> causes an aggressive <span class=""disease"" id=""15159497-2-132-140"">dementia</span> that maintains the usual regional hierarchy of disease pathology while extending abnormalities into more widespread brain areas than typically seen in AD."	15159497.0	2004.0
Dementia	C0497327	BCHE	590	0.1	Biomarker		BEFREE	"Insufficient studies exist regarding the frequency and role of <span class=""gene"" id=""26757188-2-63-67"">BCHE</span>-K in <span class=""disease"" id=""26757188-2-73-82"">dementias</span>."	26757188.0	2016.0
Dementia	C0497327	SNCA	6622	0.2	Biomarker		LHGDN	Biochemical staging of synucleinopathy and amyloid deposition in dementia with Lewy bodies.	16651889.0	2006.0
Dementia	C0497327	BDNF	627	0.1	AlteredExpression		BEFREE	"In the present study, the mRNA and protein expression level of <span class=""gene"" id=""27545218-3-63-67"">BDNF</span> was detected in serum, and cerebrospinal fluid (CSF) of patients with mild cognitive impairment (MCI), <span class=""disease"" id=""27545218-3-171-179"">dementia</span> of Alzheimer's type (DAT), and hippocampus in APP/PS1 mice."	27545218.0	2016.0
Dementia	C0497327	APOE	348	0.2	GeneticVariation		BEFREE	"Interview questions regarding hip fractures and falls, polymerase chain reaction to determine <span class=""gene"" id=""10573444-5-94-98"">APOE</span> genotype, and clinical assessment using a standardized protocol to determine the presence or absence of <span class=""disease"" id=""10573444-5-203-211"">dementia</span>."	10573444.0	1999.0
