Disease	Disease_id	Gene	Gene_id	UniProt	Gene_Full_Name	Protein_Class	N_diseases_g	DSI_g	DPI_g	pLI	Score_gda	EL_gda	EI_gda	N_PMIDs	N_SNPs_gda	First_Ref	Last_Ref
Dementia	C0497327	TREM2	54209	Q9NZC2	triggering receptor expressed on myeloid cells 2		239	0.519	0.769	3.2892e-09	0.7	strong	1.0	19	5	2005.0	2020.0
Dementia	C0497327	APP	351	P05067	amyloid beta precursor protein	Enzyme modulator	485	0.422	0.846	0.046544	0.7	strong	0.964	83	10	1993.0	2020.0
Dementia	C0497327	PSEN2	5664	P49810	presenilin 2	Enzyme	146	0.55	0.654	0.00053736	0.5	strong	1.0	17	3	1997.0	2018.0
Dementia	C0497327	GRN	2896	P28799	granulin precursor		412	0.435	0.846	0.069666	0.5		1.0	46	4	2006.0	2019.0
Dementia	C0497327	PRNP	5621	F7VJQ1;P04156	prion protein		426	0.445	0.923	0.00063182	0.5	strong	0.958	48	4	1991.0	2019.0
Dementia	C0497327	MAPT	4137	P10636	microtubule associated protein tau		469	0.446	0.923	0.0060258	0.5		0.992	127	13	1995.0	2020.0
Dementia	C0497327	NOTCH3	4854	Q9UM47	notch receptor 3		418	0.435	0.808	0.40757	0.5	strong	1.0	20	1	1996.0	2017.0
Dementia	C0497327	CST3	1471	P01034	cystatin C		370	0.436	0.808	0.0039011	0.46	limited	1.0	6	0	1996.0	2019.0
Dementia	C0497327	DNMT1	1786	P26358	DNA methyltransferase 1	Epigenetic regulator	496	0.406	0.885	1.0	0.45		1.0	5	0	2011.0	2015.0
Dementia	C0497327	CP	1356	P00450	ceruloplasmin	Enzyme	283	0.466	0.846	4.2013e-10	0.41		1.0	2	0	2003.0	2015.0
Dementia	C0497327	HTRA1	5654	Q92743	HtrA serine peptidase 1	Enzyme	164	0.532	0.692	0.00049201	0.4	strong	1.0	1	0	2014.0	2014.0
Dementia	C0497327	FUS	2521	P35637	FUS RNA binding protein	Nucleic acid binding	301	0.47	0.846	0.9993	0.38		1.0	9	0	2009.0	2017.0
Dementia	C0497327	TYROBP	7305	O43914	transmembrane immune signaling adaptor TYROBP		135	0.573	0.769	0.20238	0.36	strong	1.0	7	0	2000.0	2018.0
Dementia	C0497327	SLC6A3	6531	Q01959	solute carrier family 6 member 3	Transporter	373	0.453	0.885	0.99758	0.36		1.0	7	1	1992.0	2019.0
Dementia	C0497327	CSF1R	1436	P07333	colony stimulating factor 1 receptor	Kinase	356	0.448	0.808	0.13278	0.33	strong	1.0	4	0	2013.0	2019.0
Dementia	C0497327	COL4A1	1282	P02462	collagen type IV alpha 1 chain		277	0.484	0.731	1.0	0.31	strong	1.0	2	0	2007.0	2016.0
Dementia	C0497327	SLC9A8	23315	Q9Y2E8	solute carrier family 9 member A8	Transporter	16	0.736	0.5	2.9146e-10	0.3		1.0	1	0	2009.0	2009.0
Dementia	C0497327	VCP	7415	P55072	valosin containing protein		376	0.469	0.923	0.99999	0.2		0.958	24	3	2005.0	2019.0
Dementia	C0497327	APOE	348	P02649	apolipoprotein E		1049	0.338	0.962	0.0018685	0.2		0.916	605	6	1994.0	2020.0
Dementia	C0497327	C9orf72	203228	Q96LT7	C9orf72-SMCR8 complex subunit		258	0.496	0.769	1.0647e-06	0.2		0.941	34	0	2012.0	2020.0
Dementia	C0497327	LRRK2	120892	Q5S007	leucine rich repeat kinase 2	Kinase	231	0.51	0.808	2.5757e-30	0.2		0.812	16	2	2005.0	2019.0
Dementia	C0497327	SNCA	6622	P37840	synuclein alpha	Transporter	449	0.427	0.885	0.8829	0.2		0.986	70	4	1998.0	2019.0
Dementia	C0497327	ITM2B	9445	Q9Y287	integral membrane protein 2B		77	0.617	0.654	0.62589	0.2		0.966	29	0	1999.0	2019.0
Dementia	C0497327	PSEN1	5663	P49768	presenilin 1	Enzyme	369	0.469	0.846	0.97322	0.2		0.983	58	22	1990.0	2019.0
